the-lost-daughter-2021,73%(M) -- 82%(I)
the-tango-of-the-widower-and-its-distorting-mirror,44%(M) -- 61%(I)
spider-man-no-way-home,41%(M) -- 35%(I)
salo-or-the-120-days-of-sodom,57%(M) -- 64%(I)
the-river-1997,64%(M) -- 71%(I)
cmon-cmon,83%(M) -- 69%(I)
casino,71%(M) -- 72%(I)
4-months-3-weeks-and-2-days,79%(M) -- 81%(I)
vive-lamour,68%(M) -- 63%(I)
shiva-baby-2020,66%(M) -- 75%(I)
love-letter,63%(M) -- 63%(I)
the-french-dispatch,71%(M) -- 76%(I)
dont-look-up-2021,44%(M) -- 63%(I)
rebels-of-the-neon-god,68%(M) -- 68%(I)
haxan,65%(M) -- 77%(I)
touch-of-evil,87%(M) -- 80%(I)
citizen-kane,95%(M) -- 89%(I)
ikiru,88%(M) -- 86%(I)
fanny-and-alexander,83%(M) -- 84%(I)
titane,73%(M) -- 80%(I)
junior-2011-1,36%(M) -- 42%(I)
scenes-from-a-marriage,78%(M) -- 82%(I)
cries-and-whispers,83%(M) -- 86%(I)
spider-man-3,37%(M) -- 29%(I)
the-passion-of-anna,73%(M) -- 67%(I)
brazil,79%(M) -- 76%(I)
tokyo-godfathers,78%(M) -- 76%(I)
millennium-actress,83%(M) -- 76%(I)
the-prince-2019,55%(M) -- 52%(I)
manchester-by-the-sea,88%(M) -- 93%(I)
annette,62%(M) -- 70%(I)
eternals,29%(M) -- 24%(I)
dune-2021,70%(M) -- 80%(I)
jodorowskys-dune,56%(M) -- 62%(I)
dune,32%(M) -- 34%(I)
my-brothers-dream-awake,61%(M) -- 57%(I)
elephant-2003,60%(M) -- 74%(I)
the-fog,52%(M) -- 66%(I)
hour-of-the-wolf,67%(M) -- 65%(I)
scream,61%(M) -- 60%(I)
halloween-1978,55%(M) -- 71%(I)
belladonna-of-sadness,53%(M) -- 67%(I)
twin-peaks,60%(M) -- 69%(I)
knives-out-2019,84%(M) -- 76%(I)
lost-highway,69%(M) -- 78%(I)
ringu,50%(M) -- 47%(I)
the-evil-dead,36%(M) -- 54%(I)
batman-begins,67%(M) -- 50%(I)
forrest-gump,83%(M) -- 71%(I)
squid-game,53%(M) -- 58%(I)
thirst-2009,62%(M) -- 62%(I)
malignant-2021,39%(M) -- 36%(I)
one-cut-of-the-dead,58%(M) -- 52%(I)
coherence,56%(M) -- 82%(I)
maborosi,61%(M) -- 67%(I)
the-spirit-of-the-beehive,72%(M) -- 84%(I)
shang-chi-and-the-legend-of-the-ten-rings,30%(M) -- 30%(I)
thelma-louise,70%(M) -- 71%(I)
samsara-2011,58%(M) -- 70%(I)
10-things-i-hate-about-you,49%(M) -- 48%(I)
the-battle-of-chile-part-ii,54%(M) -- 56%(I)
the-battle-of-chile-part-i,55%(M) -- 54%(I)
forgotten-roads,43%(M) -- 39%(I)
clueless,48%(M) -- 54%(I)
badlands,86%(M) -- 83%(I)
the-official-story,57%(M) -- 49%(I)
martyrs,60%(M) -- 52%(I)
night-on-earth,76%(M) -- 76%(I)
irma-vep,71%(M) -- 70%(I)
spider-man-2,74%(M) -- 63%(I)
2046,67%(M) -- 77%(I)
picnic-at-hanging-rock,76%(M) -- 85%(I)
tenet,47%(M) -- 40%(I)
us-2019,65%(M) -- 61%(I)
12-angry-men,85%(M) -- 85%(I)
funeral-parade-of-roses,71%(M) -- 80%(I)
women-on-the-verge-of-a-nervous-breakdown,79%(M) -- 84%(I)
ah-fei-jing-juen,81%(M) -- 78%(I)
moulin-rouge-2001,52%(M) -- 38%(I)
casablanca,84%(M) -- 84%(I)
the-fall,63%(M) -- 62%(I)
viridiana,80%(M) -- 87%(I)
girl-interrupted,55%(M) -- 58%(I)
the-taste-of-tea,60%(M) -- 65%(I)
cruella,46%(M) -- 49%(I)
saint-maud,71%(M) -- 59%(I)
videodrome,41%(M) -- 48%(I)
v-for-vendetta,83%(M) -- 63%(I)
safe,77%(M) -- 86%(I)
the-meaning-of-life,51%(M) -- 60%(I)
the-godfather-part-ii,80%(M) -- 80%(I)
the-godfather,88%(M) -- 87%(I)
the-umbrellas-of-cherbourg,78%(M) -- 82%(I)
rango,42%(M) -- 38%(I)
the-straight-story,81%(M) -- 85%(I)
audition,74%(M) -- 80%(I)
baraka,67%(M) -- 78%(I)
amadeus,80%(M) -- 75%(I)
avatar,53%(M) -- 46%(I)
certified-copy,71%(M) -- 77%(I)
alice-1988,61%(M) -- 66%(I)
tokyo-story,88%(M) -- 74%(I)
the-rocky-horror-picture-show,55%(M) -- 71%(I)
early-summer,71%(M) -- 69%(I)
the-night-of-the-hunter,91%(M) -- 91%(I)
late-spring,79%(M) -- 74%(I)
holy-motors,78%(M) -- 83%(I)
tokyo,53%(M) -- 65%(I)
billys-balloon,61%(M) -- 65%(I)
rejected,66%(M) -- 72%(I)
le-samourai,87%(M) -- 92%(I)
jennifers-body,24%(M) -- 36%(I)
blow-up,88%(M) -- 85%(I)
the-love-witch,61%(M) -- 69%(I)
bo-burnham-inside,67%(M) -- 67%(I)
cabaret,69%(M) -- 72%(I)
y-tu-mama-tambien,80%(M) -- 81%(I)
the-battle-of-algiers,81%(M) -- 72%(I)
black-girl-1966,71%(M) -- 75%(I)
sexy-beast,74%(M) -- 65%(I)
kim-ji-young-born-1982,57%(M) -- 43%(I)
red-desert,63%(M) -- 65%(I)
the-red-shoes,82%(M) -- 89%(I)
but-im-a-cheerleader,54%(M) -- 51%(I)
leclisse,75%(M) -- 77%(I)
the-cranes-are-flying,69%(M) -- 68%(I)
first-reformed,83%(M) -- 89%(I)
brokeback-mountain,84%(M) -- 85%(I)
do-the-right-thing,95%(M) -- 83%(I)
la-notte,75%(M) -- 81%(I)
bicycle-thieves,87%(M) -- 90%(I)
hannah-gadsby-nanette,49%(M) -- 53%(I)
the-silence,73%(M) -- 75%(I)
winter-light,78%(M) -- 80%(I)
about-time,53%(M) -- 53%(I)
all-about-my-mother,81%(M) -- 84%(I)
hiroshima-mon-amour,80%(M) -- 86%(I)
through-a-glass-darkly,76%(M) -- 85%(I)
the-virgin-spring,79%(M) -- 84%(I)
wild-strawberries,84%(M) -- 90%(I)
i-want-to-eat-your-pancreas,39%(M) -- 36%(I)
lavventura,85%(M) -- 83%(I)
smiles-of-a-summer-night,77%(M) -- 80%(I)
elevator-to-the-gallows,63%(M) -- 72%(I)
through-the-olive-trees,71%(M) -- 67%(I)
life-and-nothing-more,59%(M) -- 55%(I)
where-is-my-friends-house,62%(M) -- 55%(I)
naked-lunch,61%(M) -- 78%(I)
machuca,57%(M) -- 55%(I)
the-exorcist,79%(M) -- 75%(I)
shrek-2,70%(M) -- 39%(I)
rec-2,25%(M) -- 35%(I)
all-that-jazz,75%(M) -- 67%(I)
sunset-boulevard,86%(M) -- 91%(I)
close-up,87%(M) -- 90%(I)
never-rarely-sometimes-always,85%(M) -- 76%(I)
time-2020,56%(M) -- 76%(I)
the-father-2020,86%(M) -- 80%(I)
wolfwalkers,73%(M) -- 68%(I)
ma-raineys-black-bottom,48%(M) -- 68%(I)
another-round,78%(M) -- 87%(I)
nomadland,86%(M) -- 89%(I)
save-ralph,42%(M) -- 42%(I)
minari,76%(M) -- 76%(I)
crip-camp-a-disability-revolution,67%(M) -- 59%(I)
judas-and-the-black-messiah,83%(M) -- 74%(I)
my-octopus-teacher,51%(M) -- 59%(I)
m,84%(M) -- 86%(I)
promising-young-woman,58%(M) -- 69%(I)
the-trial-of-the-chicago-7,51%(M) -- 51%(I)
rec,52%(M) -- 39%(I)
madchen-in-uniform,58%(M) -- 58%(I)
lage-dor,66%(M) -- 68%(I)
un-chien-andalou,77%(M) -- 76%(I)
all-quiet-on-the-western-front,62%(M) -- 48%(I)
catch-me-if-you-can-2002,82%(M) -- 65%(I)
leon-the-professional,79%(M) -- 80%(I)
the-general,76%(M) -- 79%(I)
the-gold-rush,76%(M) -- 70%(I)
zama,61%(M) -- 67%(I)
the-secret-in-their-eyes,58%(M) -- 53%(I)
the-holy-girl,55%(M) -- 59%(I)
man-with-a-movie-camera,79%(M) -- 84%(I)
battleship-potemkin,79%(M) -- 79%(I)
pieces-of-a-woman,46%(M) -- 61%(I)
sound-of-metal,73%(M) -- 87%(I)
the-assistant-2019,54%(M) -- 70%(I)
zack-snyders-justice-league,67%(M) -- 46%(I)
a-short-film-about-love,76%(M) -- 77%(I)
a-short-film-about-killing,73%(M) -- 75%(I)
